nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
21493,781,6463,19785
21493,526,2367,14174
21493,515,2045,13760
21493,514,1812,13477
21493,515,1722,13459
21493,517,1720,13438
21493,506,1769,13398
21493,540,1889,13883
21493,506,1705,13301
21493,521,1801,13605
21493,510,1742,13405
21493,522,1915,13646
21493,517,1830,13547
21493,528,1780,13674
21493,513,1782,13507
21493,517,1735,13442
21493,505,1929,13555
21493,511,1745,13440
21493,517,1764,13525
18079,524,1876,13658
18079,507,1808,13433
18079,513,1718,13425
18079,510,1775,13448
18079,539,1777,13754
18079,512,1750,13460
18079,503,1771,13352
18079,522,1740,13565
18079,510,1735,13407
18079,514,1736,13437
18079,512,1813,13509
18079,510,1723,13397
18079,538,1789,13781
18079,517,1914,13603
18079,515,1916,13632
18079,510,1806,13488
18079,515,1851,13558
18079,513,1773,13475
18079,502,1730,13320
18079,520,1823,13618
18079,522,1816,13626
18079,505,1845,13442
18079,527,1807,13682
18079,521,1799,13603
18079,514,1724,13395
18079,510,1786,13460
18079,513,1698,13415
18079,510,1683,13352
18079,513,1726,13422
18079,515,1781,13485
18079,538,1774,13757
18079,511,1752,13456
18079,513,1769,13460
18079,506,1713,13325
18079,529,1877,13675
18079,512,1708,13406
18079,514,1727,13402
18079,529,1704,13616
18079,494,1689,13183
18079,526,1803,13659
18085,508,1845,13431
18085,533,1905,13824
18085,512,1763,13461
18085,511,1771,13469
18085,517,1752,13454
18085,526,1789,13646
18085,520,1799,13595
18085,511,1739,13417
18085,512,1732,13427
18085,514,1737,13453
18085,510,1703,13384
18085,514,1758,13456
18085,512,1784,13486
18085,518,1977,13694
18085,515,1699,13415
18085,527,1726,13615
18085,519,1909,13622
18085,515,1866,13588
18085,512,1681,13380
18085,511,1723,13418
18079,516,1800,13564
18079,508,1752,13365
18079,528,1788,13690
18079,518,1806,13584
18079,515,1840,13550
18079,501,1775,13364
18079,522,1746,13546
18079,503,1709,13327
18079,520,1700,13468
18079,513,1754,13461
18079,511,1788,13483
18079,510,1757,13726
18079,538,1899,13575
18079,516,1828,13538
18079,512,1717,13415
18079,512,1689,13383
18079,512,1769,13451
18079,514,1811,13538
18079,512,1748,13441
18079,511,1818,13503
18079,538,1955,13950
18079,509,1782,13419
18079,514,1778,13498
18079,510,1778,13464
18079,514,1737,13415
18079,513,1786,13485
18079,513,1813,13533
18079,509,1806,13477
18079,537,1808,13778
18079,514,1794,13519
18079,511,1742,13428
18079,510,1858,13536
18079,516,1859,13557
18079,515,1828,13513
18079,515,1947,13616
18079,517,1730,13490
18079,535,1701,13651
18079,511,1812,13501
18079,512,1818,13493
18079,513,1731,13450
17834,519,1778,13544
17834,506,1806,13404
17834,514,1683,13410
17834,511,1755,13449
17834,514,1830,13543
17834,531,1742,13679
17834,513,1769,13476
17834,512,1678,13377
17834,510,1829,13487
17834,515,1778,13495
17834,511,1853,13528
17834,516,1839,13563
17834,520,2045,13725
17834,537,1822,13790
17834,517,1951,13643
17834,514,1726,13450
17834,512,1718,13403
17834,512,1776,13464
17834,511,1751,13455
17834,514,1698,13404
17840,522,1854,13664
17840,527,1673,13523
17840,512,1781,13483
17840,512,1796,13491
17840,513,1862,13535
17840,516,1789,13538
17840,509,1700,13363
17840,511,1756,13446
17840,535,1720,13676
17840,506,1812,13443
17840,523,1790,13571
17840,510,1842,13526
17840,516,1693,13393
17840,532,2676,14474
17840,502,1809,13418
17840,508,1737,13394
17840,521,1861,13607
17840,528,1795,13689
17840,520,1786,13562
17840,505,1808,13426
17834,505,1875,13744
17834,589,10555,22347
17834,641,20648,32208
17834,604,20878,32658
17834,919,18917,30525
17834,603,19975,31753
17834,585,21431,33065
17834,775,18901,30663
17834,827,13532,25209
17834,773,10930,22553
17834,711,30284,42382
17834,620,51414,63086
17834,695,27600,39653
17834,765,20109,31570
17834,660,21245,33187
17834,658,20974,32786
17834,634,21198,32830
17834,1010,18017,29744
17834,636,15625,27353
17834,686,20468,32262
17806,627,21379,33086
17806,641,21290,32795
17806,653,20667,32279
17806,1280,12110,24542
17806,671,15178,27074
17806,611,20922,32678
17806,684,20955,32533
17806,642,20759,32509
17806,640,20966,32547
17806,609,20455,32288
17806,586,20218,31716
17806,585,22556,34215
17806,603,23177,34933
17806,1297,21260,33885
17806,690,15519,26823
25596,889,20751,29358
34579,945,20643,24884
34579,1016,20501,24744
43539,1074,20421,24430
43539,999,20476,24564
46920,905,20612,24746
46920,1022,20297,24722
48379,1054,20863,24968
48379,907,20437,24646
48865,1001,19877,23915
48865,1411,18893,23677
