epoch,accuracy,loss,val_accuracy,val_loss
0,0.13583333790302277,2.286863327026367,0.3871000111103058,2.250897169113159
1,0.2572592496871948,2.2287580966949463,0.5392000079154968,2.1819980144500732
2,0.36137038469314575,2.1595888137817383,0.6412000060081482,2.0958151817321777
3,0.4314444363117218,2.070249319076538,0.6883000135421753,1.9819685220718384
4,0.4910370409488678,1.955715298652649,0.7156000137329102,1.8361204862594604
5,0.5342592597007751,1.8159403800964355,0.7333999872207642,1.6617947816848755
6,0.5730555653572083,1.6601393222808838,0.7537999749183655,1.4712493419647217
7,0.6026666760444641,1.5035812854766846,0.7709000110626221,1.2868671417236328
8,0.630648136138916,1.3615169525146484,0.7882999777793884,1.1247007846832275
9,0.6548888683319092,1.2375476360321045,0.8030999898910522,0.9915578365325928
10,0.6725741028785706,1.1406043767929077,0.8123999834060669,0.8868539929389954
11,0.6927037239074707,1.0590879917144775,0.8216000199317932,0.8028563261032104
0,0.13583333790302277,2.286863327026367,0.3871000111103058,2.250897169113159
1,0.2572592496871948,2.2287583351135254,0.5392000079154968,2.1819984912872314
2,0.3613518476486206,2.1595892906188965,0.6410999894142151,2.095815896987915
3,0.4314444363117218,2.070251941680908,0.6883000135421753,1.9819715023040771
4,0.49101850390434265,1.9557182788848877,0.7156000137329102,1.836121678352356
5,0.5342592597007751,1.8159408569335938,0.7333999872207642,1.6617881059646606
6,0.5730741024017334,1.66013503074646,0.7537999749183655,1.4712392091751099
7,0.6026111245155334,1.5035769939422607,0.7709000110626221,1.286852478981018
8,0.630648136138916,1.3615111112594604,0.7882999777793884,1.1246929168701172
9,0.6548333168029785,1.2375448942184448,0.8030999898910522,0.9915505647659302
10,0.6725925803184509,1.1405987739562988,0.8123999834060669,0.8868434429168701
11,0.6926851868629456,1.0590791702270508,0.8216000199317932,0.8028445839881897
0,0.13583333790302277,2.286863327026367,0.3871999979019165,2.250897169113159
1,0.2572592496871948,2.228757858276367,0.5390999913215637,2.181997537612915
2,0.36137038469314575,2.15958833694458,0.6410999894142151,2.095815420150757
3,0.43149998784065247,2.0702507495880127,0.6881999969482422,1.9819711446762085
4,0.4910370409488678,1.955719232559204,0.7156000137329102,1.8361262083053589
5,0.5342962741851807,1.8159435987472534,0.7333999872207642,1.6617896556854248
6,0.5730555653572083,1.6601386070251465,0.7537000179290771,1.471238374710083
7,0.602648138999939,1.5035799741744995,0.7710000276565552,1.2868558168411255
8,0.6306111216545105,1.3615163564682007,0.7882999777793884,1.1246981620788574
9,0.6548703908920288,1.2375524044036865,0.8030999898910522,0.9915599822998047
10,0.6725925803184509,1.1406092643737793,0.8123999834060669,0.8868582844734192
11,0.6927407383918762,1.0590909719467163,0.8216000199317932,0.8028559684753418
0,0.13583333790302277,2.286863327026367,0.3871000111103058,2.2508974075317383
1,0.2572592496871948,2.2287583351135254,0.5390999913215637,2.181997537612915
2,0.3613518476486206,2.159587860107422,0.6410999894142151,2.0958149433135986
3,0.43149998784065247,2.0702478885650635,0.6883999705314636,1.9819663763046265
4,0.4910370409488678,1.955711841583252,0.7156000137329102,1.8361154794692993
