epoch,accuracy,loss,val_accuracy,val_loss
0,0,-0.8715808987617493,83.83000183105469,-0.8326449130154863
1,0,-0.8227338790893555,85.08000183105469,-0.8487712439102463
2,0,-0.7945020198822021,85.1500015258789,-0.849189860911309
3,0,-0.9008349776268005,86.0199966430664,-0.8565833885458451
4,0,-0.8154392242431641,86.31999969482422,-0.8620065827912922
5,0,-0.879162073135376,86.94999694824219,-0.8675832786137545
6,0,-0.9265663027763367,93.38999938964844,-0.929829724981815
7,0,-0.9519082903862,95.19999694824219,-0.9497129781336724
8,0,-0.9397396445274353,94.27999877929688,-0.9403602081009105
9,0,-0.954808235168457,96.37000274658203,-0.9613909412033951
10,0,-0.9664681553840637,96.38999938964844,-0.9625840134258512
11,0,-0.9648888111114502,96.62999725341797,-0.9646297338642652
0,0,-0.8343484401702881,84.2300033569336,-0.8343277498136593
1,0,-0.8083627820014954,83.9800033569336,-0.8333927989006042
2,0,-0.9089835286140442,85.12999725341797,-0.8471691691422765
3,0,-0.8604304790496826,86.27999877929688,-0.8597490493255325
4,0,-0.8975375294685364,86.83000183105469,-0.8641287344920484
5,0,-0.7818804383277893,86.93000030517578,-0.8664593945575666
6,0,-0.8489988446235657,87.5,-0.8714654641815379
7,0,-0.8817897439002991,87.66000366210938,-0.8747551305384575
8,0,-0.891113817691803,87.61000061035156,-0.8752751425851749
9,0,-0.8763337135314941,87.95999908447266,-0.8778410055969335
10,0,-0.8852481842041016,87.86000061035156,-0.8778297637082353
11,0,-0.881281316280365,87.93000030517578,-0.8780628035340128
0,0,-0.8716819286346436,88.1500015258789,-0.8704226582865172
1,0,-0.9185528755187988,91.77999877929688,-0.913021782531014
2,0,-0.9490156173706055,93.5,-0.931756841230996
3,0,-0.958001434803009,94.41999816894531,-0.9411702616305291
4,0,-0.9129912257194519,94.7300033569336,-0.9447106945363781
5,0,-0.9252063632011414,94.83999633789062,-0.9462665719322011
6,0,-0.9746821522712708,95.77999877929688,-0.9553469781634174
7,0,-0.9302763938903809,96.05000305175781,-0.9583192211163195
8,0,-0.9773058295249939,96.1500015258789,-0.95918746613249
9,0,-0.9538912177085876,96.43000030517578,-0.9637480498869208
10,0,-0.9613975882530212,95.91999816894531,-0.9561983761908133
11,0,-0.9362836480140686,96.8499984741211,-0.9657264932801451
0,0,-0.8994216918945312,88.72000122070312,-0.8801849718335308
1,0,-0.9314541816711426,92.41999816894531,-0.9186608738537076
2,0,-0.90974360704422,93.25,-0.9304100674918935
3,0,-0.977360188961029,93.66000366210938,-0.9336675699753098
4,0,-0.9525402188301086,92.95999908447266,-0.9268786250790463
5,0,-0.9839439988136292,94.76000213623047,-0.945229215712487
6,0,-0.9617869257926941,95.48999786376953,-0.9524780768382398
7,0,-0.9644947648048401,95.41000366210938,-0.9522087634364261
8,0,-0.9657214283943176,96.31999969482422,-0.9620012927658951
9,0,-0.9555671811103821,95.93000030517578,-0.9576056825963757
10,0,-0.9464238286018372,95.91000366210938,-0.957578259932844
11,0,-0.974975049495697,95.87000274658203,-0.9565682735624192
0,0,-0.8343584537506104,84.20999908447266,-0.834532194499728
1,0,-0.8730372786521912,84.55999755859375,-0.8433055394812475
2,0,-0.8021909594535828,85.58000183105469,-0.853217298471475
3,0,-0.8572266697883606,85.7300033569336,-0.8546321135533007
4,0,-0.8787334561347961,86.47000122070312,-0.8614924565146241
5,0,-0.8037543892860413,86.98999786376953,-0.8674198358873778
6,0,-0.8322655558586121,86.80000305175781,-0.865464937837818
7,0,-0.8166851997375488,87.5,-0.872766362715371
8,0,-0.8638651967048645,87.69000244140625,-0.8740027690235572
9,0,-0.8844635486602783,87.9800033569336,-0.879796066616155
10,0,-0.8519169688224792,87.58000183105469,-0.8745349479627006
11,0,-0.9316019415855408,92.01000213623047,-0.91602509233016
0,0,-0.8591007590293884,90.7300033569336,-0.897008244749866
1,0,-0.8974886536598206,91.31999969482422,-0.908863430536246
2,0,-0.8775140643119812,93.30999755859375,-0.9272845327099667
3,0,-0.9608714580535889,91.91000366210938,-0.9155984249296067
4,0,-0.9644267559051514,94.91000366210938,-0.9470272147202794
5,0,-0.9655160903930664,94.77999877929688,-0.945159877402873
6,0,-0.9826429486274719,95.80000305175781,-0.9552679793744148
7,0,-0.915882408618927,95.58999633789062,-0.9547708509843561
8,0,-0.9415884613990784,95.70999908447266,-0.9554793902590305
9,0,-0.9477329254150391,95.72000122070312,-0.9562694234184071
10,0,-0.964606523513794,95.91000366210938,-0.958495911918109
11,0,-0.9477458596229553,96.1500015258789,-0.9606394579138937
0,0,-0.84903484582901,90.08000183105469,-0.8890150257303745
1,0,-0.8958015441894531,92.31999969482422,-0.9177081781097606
2,0,-0.9066197276115417,92.5,-0.9214200596266156
3,0,-0.9243159294128418,94.19000244140625,-0.9382292628288269
4,0,-0.9554802775382996,94.81999969482422,-0.9461609570285942
5,0,-0.964749813079834,95.26000213623047,-0.948341549951819
6,0,-0.9754080772399902,95.58999633789062,-0.95307489437393
7,0,-0.9741074442863464,95.68000030517578,-0.954727876035473
8,0,-0.9488924145698547,96.18000030517578,-0.9607756847067724
9,0,-0.9594833254814148,96.25,-0.9601126184946374
10,0,-0.956921398639679,95.83999633789062,-0.9574009595038016
11,0,-0.9877254366874695,95.94000244140625,-0.9578906840915922
0,0,-0.7909396290779114,74.3499984741211,-0.733383872840978
1,0,-0.756111204624176,76.54000091552734,-0.7632939619354054
2,0,-0.7609071135520935,77.23999786376953,-0.7683359829685356
3,0,-0.7816690802574158,77.47000122070312,-0.7728184378599818
4,0,-0.8305037617683411,77.0199966430664,-0.7690296859680852
5,0,-0.8167548775672913,77.79000091552734,-0.778685904756377
6,0,-0.8202874660491943,78.11000061035156,-0.7779430747032166
7,0,-0.8627364635467529,85.30000305175781,-0.8517532650428482
8,0,-0.8664384484291077,85.9000015258789,-0.8572191580941405
9,0,-0.7971245646476746,86.55000305175781,-0.8642503619194031
10,0,-0.9100918173789978,86.76000213623047,-0.8638125310970258
11,0,-0.8247132301330566,87.05000305175781,-0.8667146201375164
0,0,-0.8400573134422302,83.8499984741211,-0.8301283038115199
1,0,-0.7395893931388855,84.91000366210938,-0.8442352670657484
2,0,-0.7837229371070862,85.5199966430664,-0.8524368593964395
3,0,-0.8403031229972839,86.29000091552734,-0.8593314448489419
4,0,-0.8692249655723572,85.80000305175781,-0.8538718359379829
5,0,-0.8954010009765625,86.33000183105469,-0.860964951635916
6,0,-0.8676638603210449,86.41999816894531,-0.8610587104966368
7,0,-0.8763657212257385,86.8499984741211,-0.8676858551894562
8,0,-0.8697418570518494,87.66999816894531,-0.8747954753380788
9,0,-0.8780725598335266,88.01000213623047,-0.8776335293733621
10,0,-0.8876777291297913,87.62999725341797,-0.87567906289161
11,0,-0.8588564395904541,87.98999786376953,-0.8779644219181205
0,0,-0.8300540447235107,84.4800033569336,-0.8376489794706996
1,0,-0.8101574778556824,84.29000091552734,-0.8403683802749538
2,0,-0.8966033458709717,85.91999816894531,-0.856045996840996
3,0,-0.8493101596832275,86.5999984741211,-0.8635233836837962
4,0,-0.8236917853355408,87.0,-0.8672248751302308
5,0,-0.8578293919563293,86.70999908447266,-0.8630869282951837
6,0,-0.871565580368042,87.36000061035156,-0.8727311884300618
7,0,-0.8699318766593933,87.54000091552734,-0.872655386411691
8,0,-0.9454191327095032,94.8499984741211,-0.9455519454388679
9,0,-0.9413326382637024,95.69000244140625,-0.9553251900250399
10,0,-0.9970040917396545,95.88999938964844,-0.9568331203883207
11,0,-0.9800485968589783,96.06999969482422,-0.9580783142319208
0,0,-0.8195807933807373,83.94000244140625,-0.8326144723952571
1,0,-0.7844405770301819,83.97000122070312,-0.8319251363790487
2,0,-0.8726438879966736,85.48999786376953,-0.8525255186648308
3,0,-0.7879245281219482,86.36000061035156,-0.861081837853299
4,0,-0.8546491265296936,86.27999877929688,-0.8606090794635725
5,0,-0.8695497512817383,86.73999786376953,-0.8656177543386628
6,0,-0.8583035469055176,86.36000061035156,-0.8597983846181556
7,0,-0.8820155262947083,87.30000305175781,-0.8726064721240273
8,0,-0.8767096996307373,87.48999786376953,-0.8741380300702928
9,0,-0.8194902539253235,87.22000122070312,-0.8711261900165413
10,0,-0.987460196018219,95.20999908447266,-0.9495072251633753
11,0,-0.9394076466560364,95.72000122070312,-0.9552027326595934
0,0,-0.9260656237602234,89.69000244140625,-0.8901735257498825
1,0,-0.8797637820243835,91.44999694824219,-0.907954320122924
2,0,-0.9010527729988098,93.4800033569336,-0.930330653733845
3,0,-0.945253849029541,93.58000183105469,-0.9313717823994311
4,0,-0.9527473449707031,95.05999755859375,-0.9467207344272469
5,0,-0.9418935775756836,94.33000183105469,-0.9418343033971666
6,0,-0.9151577949523926,95.41000366210938,-0.9526781258703787
7,0,-0.9485654830932617,95.8499984741211,-0.956464076343971
8,0,-0.984880268573761,96.01000213623047,-0.9583860899828658
9,0,-0.9726492762565613,96.45999908447266,-0.9625620404376259
10,0,-0.9499333500862122,96.19000244140625,-0.9597057013572017
11,0,-0.9284658432006836,96.75,-0.9675027373470838
0,0,-0.7901697158813477,84.13999938964844,-0.8304241299629211
1,0,-0.8296597599983215,84.38999938964844,-0.8369459328772146
2,0,-0.8400917053222656,83.62000274658203,-0.8334800480287287
3,0,-0.8281041979789734,85.80000305175781,-0.854830222039283
4,0,-0.8333616852760315,85.93000030517578,-0.856195637696906
5,0,-0.8543034195899963,86.80999755859375,-0.8664292670503447
6,0,-0.8378193378448486,87.1500015258789,-0.8681090934367119
7,0,-0.9073191285133362,87.58000183105469,-0.8740315422227111
8,0,-0.8727550506591797,87.56999969482422,-0.874172723745998
9,0,-0.8202045559883118,87.54000091552734,-0.8722650951977018
10,0,-0.8884746432304382,87.54000091552734,-0.8741206051428106
11,0,-0.8327973484992981,88.20999908447266,-0.8802228253098983
0,0,-0.8680100440979004,83.08999633789062,-0.8212129186980331
1,0,-0.8440811038017273,85.30000305175781,-0.8495616641225694
2,0,-0.8852959275245667,86.04000091552734,-0.8587982760200018
3,0,-0.8351085186004639,86.56999969482422,-0.8638411247277562
4,0,-0.8909514546394348,86.56999969482422,-0.8627824390990825
5,0,-0.8736934661865234,86.79000091552734,-0.8658048729353314
6,0,-0.8169644474983215,87.25,-0.8717446463017524
7,0,-0.8717911839485168,87.69000244140625,-0.876873099351231
8,0,-0.9413780570030212,93.5199966430664,-0.9324169573904593
9,0,-0.926926851272583,95.86000061035156,-0.9558820068081723
10,0,-0.9679306149482727,95.8499984741211,-0.9564927491960646
11,0,-0.9520323276519775,95.80999755859375,-0.9570055520987208
0,0,-0.7896310687065125,82.80000305175781,-0.8195541923559164
1,0,-0.8268848061561584,83.72000122070312,-0.833243827276592
2,0,-0.8639445304870605,84.29000091552734,-0.839313995234574
3,0,-0.8479933142662048,85.08999633789062,-0.8490014083777802
4,0,-0.9114629626274109,85.76000213623047,-0.8542619324937651
5,0,-0.9249803423881531,93.76000213623047,-0.9325779970688156
6,0,-0.9464064240455627,94.05999755859375,-0.9382991783226593
7,0,-0.9416413307189941,94.98999786376953,-0.9478120743473873
8,0,-0.9284841418266296,95.77999877929688,-0.955458030670504
9,0,-0.9535751342773438,95.38999938964844,-0.9526436630683609
10,0,-0.9548745155334473,96.13999938964844,-0.9594225906118562
11,0,-0.9652467370033264,96.41999816894531,-0.962304288073431
0,0,-0.9255449771881104,89.94000244140625,-0.8895555719544616
1,0,-0.9260261654853821,92.19000244140625,-0.9175360912009131
2,0,-0.9083428978919983,92.9000015258789,-0.9270794316183163
3,0,-0.9431092143058777,94.18000030517578,-0.9358054520208624
4,0,-0.9206308722496033,94.93000030517578,-0.9458072034618522
5,0,-0.9534390568733215,95.04000091552734,-0.9483681215515619
6,0,-0.9936614632606506,95.26000213623047,-0.9510867331601396
7,0,-0.9693246483802795,96.12999725341797,-0.9583040453210662
8,0,-0.9605448246002197,95.97000122070312,-0.9582643124121654
9,0,-0.9615207314491272,96.22000122070312,-0.9604786558996273
10,0,-0.9621551632881165,96.2699966430664,-0.9617418684536898
11,0,-0.981303870677948,96.54000091552734,-0.9635036625439608
0,0,-0.8694484233856201,89.69000244140625,-0.8859709191925919
1,0,-0.8957768082618713,92.13999938964844,-0.9167861402789249
2,0,-0.9213754534721375,93.2699966430664,-0.9299949445301974
3,0,-0.8931487202644348,93.66999816894531,-0.9342327706421478
4,0,-0.9296355247497559,94.66000366210938,-0.9445126200024085
5,0,-0.9532163143157959,95.11000061035156,-0.9486052333554135
6,0,-0.9507625102996826,95.2699966430664,-0.9512201517443114
7,0,-0.94391268491745,95.62000274658203,-0.9548061120359204
8,0,-0.951202929019928,95.43000030517578,-0.9532371865043158
9,0,-0.9623158574104309,96.6500015258789,-0.9645910693120353
10,0,-0.9627296328544617,96.48999786376953,-0.9617052825191353
11,0,-0.9763936400413513,96.43000030517578,-0.9621302372292627
0,0,-0.8981923460960388,90.2300033569336,-0.8937206373939032
1,0,-0.9085076451301575,92.06999969482422,-0.9155488896973526
2,0,-0.9222267270088196,92.5999984741211,-0.9230209038227419
3,0,-0.9147989749908447,93.8499984741211,-0.9347525804857665
4,0,-0.9592151641845703,94.0,-0.9374534827244433
5,0,-0.9525229930877686,95.12000274658203,-0.949028574213197
6,0,-0.9331600069999695,95.62000274658203,-0.9542412961585612
7,0,-0.9881797432899475,95.9800033569336,-0.9581961390338366
8,0,-0.9559502601623535,95.68000030517578,-0.9553844325150116
9,0,-0.9584538340568542,96.66000366210938,-0.9651428129099593
10,0,-0.978358268737793,96.70999908447266,-0.9654112299786338
11,0,-0.9869539737701416,96.98999786376953,-0.9681790418262723
0,0,-0.7754039764404297,82.95999908447266,-0.8203796555724325
1,0,-0.8545543551445007,84.41999816894531,-0.8395494373538827
2,0,-0.834435224533081,85.12000274658203,-0.8492002464547942
3,0,-0.8709118962287903,85.30000305175781,-0.8503178177000601
4,0,-0.9476373195648193,91.33999633789062,-0.9118840686882599
5,0,-0.922696053981781,94.66999816894531,-0.943572340132315
6,0,-0.9462236762046814,95.62999725341797,-0.9528311687179759
7,0,-0.9627461433410645,95.69999694824219,-0.9535388923898528
8,0,-0.9298667907714844,95.79000091552734,-0.9548490839668468
9,0,-0.97051602602005,96.33999633789062,-0.9609065335008162
10,0,-0.96514892578125,96.5199966430664,-0.9632101722910434
11,0,-0.9784266948699951,96.72000122070312,-0.9648278680028795
0,0,-0.8287690281867981,80.88999938964844,-0.8022392980660065
1,0,-0.8616520762443542,83.62999725341797,-0.8319278110431719
2,0,-0.8139288425445557,84.69999694824219,-0.8448453673833534
3,0,-0.8546202778816223,85.23999786376953,-0.850321550912495
4,0,-0.8499824404716492,85.54000091552734,-0.8520206544972673
5,0,-0.8349800109863281,85.4800033569336,-0.8529927624931818
6,0,-0.8134737014770508,86.33999633789062,-0.8621354608596126
7,0,-0.8654088973999023,86.55000305175781,-0.864827236042747
8,0,-0.913188636302948,94.80000305175781,-0.9434496428393111
9,0,-0.9408364295959473,95.25,-0.9496284119690521
10,0,-0.9505038261413574,95.98999786376953,-0.9583177823054639
11,0,-0.9761868119239807,96.44000244140625,-0.9628508943545667
