nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
17118,807,5805,17066
17118,534,2221,14260
17118,515,1979,13683
17118,510,1882,13521
17118,520,1908,13649
17118,511,1877,13565
17118,531,1815,13714
17118,516,1870,13587
17118,515,1862,13560
17118,516,1859,13566
17118,512,1839,13516
17118,512,1847,13522
17118,514,1830,13536
17118,514,1836,13545
17118,512,1835,13522
17118,537,1876,13842
17118,514,1817,13529
16874,494,1782,13288
16874,532,1874,13748
16874,514,1925,13613
16874,514,1928,13609
16874,512,1869,13564
16874,514,1830,13540
16874,518,1908,13611
16874,534,1844,13807
16874,514,1856,13559
16874,510,1909,13570
16874,513,1858,13518
16874,515,1811,13535
16874,513,1924,13618
16874,511,1820,13789
16874,516,1833,13264
16874,514,1828,13847
16874,532,1816,13445
16874,510,1739,13393
16874,517,1871,13581
16874,514,1811,13521
17118,514,1846,13579
17118,512,1946,13591
17118,536,1892,13849
17118,521,2053,13752
17118,532,2091,13730
17118,515,1763,13466
17118,514,1797,13495
17118,529,1650,13555
17118,496,1650,13145
17118,514,1574,13274
17118,538,1769,13761
17118,509,1750,13404
17118,513,1774,13476
17118,512,1675,13354
17118,512,1733,13415
17118,514,1685,13392
17118,512,1666,13344
17118,530,1748,13652
17118,520,1783,13556
17118,515,1659,13382
16874,515,1798,13553
16874,510,1765,13378
16874,508,1801,13437
16874,517,1737,13471
16874,515,2097,13768
16874,536,1806,13771
16874,520,1975,13717
16874,515,1719,13456
16874,508,1789,13429
16874,508,1800,13437
16874,516,1857,13586
16874,513,1814,13510
16874,514,1825,13540
16874,512,1882,13833
16874,541,1838,13524
16874,514,1848,13544
16874,513,1799,13492
16874,506,1828,13430
16874,518,1736,13482
16874,515,1831,13549
16874,517,1820,13592
16874,527,1918,13745
16874,521,1892,13650
16874,505,1864,13465
16874,520,1811,13596
16874,509,1758,13398
16874,516,1780,13500
16874,513,1681,13375
16874,513,1684,13370
16874,531,1651,13564
16874,518,1614,13364
16874,506,1665,13277
16874,522,1651,13449
16874,504,1593,13164
16874,521,1766,13539
16874,515,1566,13295
16874,510,1721,13387
16874,531,1653,13560
16874,520,1730,13491
16874,513,1663,13376
16874,516,1686,13443
16874,504,1732,13272
16874,518,1717,13464
16874,513,1771,13468
16874,513,1724,13430
16874,529,1565,13442
16874,501,1636,13178
16874,534,1816,13753
16874,511,1834,13525
16874,506,1835,13431
16874,518,1809,13566
16874,514,1840,13556
16874,513,1895,13566
16874,532,1823,13741
16874,519,1841,13609
16874,512,1826,13520
16874,511,1791,13471
16874,504,1746,13350
16874,523,1809,13599
16874,511,1642,13316
17118,528,1636,13545
17118,517,1729,13429
17118,519,1806,13554
17118,514,1843,13558
17118,512,1798,13478
17118,509,1794,13422
17118,516,1825,13542
17118,515,1746,13462
17118,510,1743,13426
17118,532,1561,13494
17118,518,1620,13378
17118,511,1696,13380
17118,517,1798,13532
17118,508,1760,13392
17118,516,1735,13479
17118,514,1777,13482
17118,512,1835,13521
17118,530,1796,13709
17118,496,1764,13228
17118,535,1804,13775
17118,499,1935,13454
17118,523,1915,13675
17118,516,1900,13641
17118,515,1857,13565
